iter	Cox
0	-393.5770797
1	-393.0970905
2	-392.4729136
3	-392.0261587
4	-391.4260164
5	-390.6794922
6	-390.2090887
7	-389.8842699
8	-389.5176179
9	-389.0105588
10	-388.5365262
11	-387.9536122
12	-387.4397602
13	-386.7887734
14	-386.4562731
15	-386.0627144
16	-385.434424
17	-384.9095961
18	-384.3668089
19	-383.9525095
20	-383.2588205
21	-382.8085252
22	-382.2699606
23	-381.8919455
24	-381.4043663
25	-380.8802999
26	-380.5122153
27	-379.8522818
28	-379.290573
29	-379.0019141
30	-378.6253235
31	-378.0700574
32	-377.6509993
33	-377.4296564
34	-376.8707473
35	-376.5224473
36	-375.9939013
37	-375.6695318
38	-375.3844944
39	-374.9630156
40	-374.6586992
41	-374.1746613
42	-373.5447714
43	-373.1573561
44	-372.817989
45	-372.5241983
46	-372.1674801
47	-371.7788204
48	-371.5178489
49	-371.0495167
50	-370.5849283
51	-370.2595724
52	-369.8321508
53	-369.2610999
54	-368.7639808
55	-368.3616886
56	-367.9607997
57	-367.5177566
58	-367.081588
59	-366.6148772
60	-366.2233103
61	-365.6582798
62	-365.3012113
63	-364.8371153
64	-364.6313054
65	-363.9748925
66	-363.7152203
67	-363.2217615
68	-362.7591099
69	-362.4663519
70	-362.0388004
71	-361.6628799
72	-361.3226146
73	-360.8967843
74	-360.5136468
75	-359.9593457
76	-359.6436031
77	-359.2801083
78	-358.8183333
79	-358.3301279
80	-357.7491251
81	-357.4523226
82	-357.2171513
83	-356.8092845
84	-356.3361359
85	-355.9727923
86	-355.7235631
87	-355.2843929
88	-354.757512
89	-354.4655176
90	-353.7584018
91	-353.3714189
92	-352.9909116
93	-352.4637143
94	-351.8671722
95	-351.3276892
96	-351.0535922
97	-350.6660686
98	-350.273412
99	-349.6664422
100	-349.0984336
101	-348.704935
102	-348.1282513
103	-347.8276928
104	-347.2760174
105	-346.6253289
106	-346.27735
107	-346.0405518
108	-345.62727
109	-345.1416365
110	-344.7613442
111	-344.4271478
112	-344.0867519
113	-343.7178419
114	-343.3837227
115	-343.0619166
116	-342.6300159
117	-342.1120328
118	-341.5273883
119	-341.0838618
120	-340.6749708
121	-340.2797818
122	-339.8736251
123	-339.3996445
124	-339.1884186
125	-338.8764499
126	-338.5218969
127	-338.0328622
128	-337.7996265
129	-337.4737885
130	-337.1260385
131	-336.8023145
132	-336.5110672
133	-336.0591995
134	-335.8619413
135	-335.37461
136	-334.8903544
137	-334.5172056
138	-334.1959251
139	-333.7554957
140	-333.3603579
141	-333.0264223
142	-332.5619229
143	-332.3399499
144	-332.0510902
145	-331.6249415
146	-331.1337799
147	-330.8266239
148	-330.3674505
149	-330.0741188
150	-329.6913779
151	-329.3554239
152	-329.0360949
153	-328.8244559
154	-328.4791042
155	-327.9885428
156	-327.6844443
157	-327.2579437
158	-326.8216219
159	-326.3900344
160	-326.0350895
161	-325.6839438
162	-325.36578
163	-324.9992334
164	-324.7542828
165	-324.5109738
166	-324.1334774
167	-323.8465612
168	-323.4529786
169	-323.0394266
170	-322.8335631
171	-322.4560863
172	-321.9516166
173	-321.7177551
174	-321.3651199
175	-320.9443423
176	-320.6168352
177	-320.2382248
178	-319.8737395
179	-319.7299817
180	-319.3559086
181	-319.1457271
182	-318.7577309
183	-318.4172172
184	-318.1971368
185	-317.8943045
186	-317.5171366
187	-317.2883571
188	-317.0063937
189	-316.6801582
190	-316.516113
191	-316.3099944
192	-316.0185945
193	-315.6737288
194	-315.417462
195	-315.2489418
196	-315.0177783
197	-314.7782985
198	-314.5329264
