iter	Passed	Remaining
0	6	3082
1	8	2059
2	10	1700
3	12	1524
4	14	1418
5	16	1345
6	18	1297
7	20	1256
8	22	1229
9	24	1199
10	26	1180
11	28	1163
12	30	1148
13	32	1133
14	34	1122
15	36	1110
16	38	1102
17	40	1092
18	42	1085
19	44	1077
20	47	1074
21	49	1066
22	51	1061
23	53	1056
24	55	1051
25	57	1046
26	59	1039
27	61	1036
28	63	1030
29	65	1025
30	67	1021
31	69	1018
32	71	1013
33	73	1009
34	75	1005
35	77	1003
36	79	998
37	81	995
38	83	991
39	85	988
40	88	985
41	90	982
42	92	978
43	94	975
44	96	972
45	98	969
46	100	966
47	102	963
48	104	960
49	106	957
50	108	954
51	110	950
52	112	948
53	114	944
54	116	942
55	118	939
56	120	936
57	122	934
58	124	931
59	126	928
60	128	926
61	130	923
62	132	921
63	134	918
64	136	915
65	138	913
66	140	910
67	143	908
68	145	905
69	147	903
70	149	900
71	151	898
72	153	895
73	155	893
74	157	890
75	159	888
76	161	885
77	163	883
78	165	880
79	167	878
80	169	876
81	171	873
82	173	871
83	175	869
84	177	866
85	179	864
86	181	861
87	183	859
88	185	857
89	187	854
90	189	852
91	191	850
92	193	848
93	195	846
94	197	843
95	199	841
96	201	838
97	203	836
98	205	834
99	207	831
100	210	829
101	212	827
102	214	825
103	216	823
104	218	820
105	220	818
106	222	816
107	224	813
108	226	811
109	228	809
110	230	806
111	232	804
112	234	802
113	236	800
114	238	797
115	240	795
116	242	793
117	244	791
118	246	788
119	248	786
120	250	784
121	252	782
122	254	780
123	256	778
124	258	775
125	260	773
126	262	771
127	264	769
128	266	767
129	268	765
130	270	762
131	273	761
132	275	759
133	277	757
134	279	754
135	281	752
136	283	750
137	285	748
138	287	746
139	289	744
140	291	742
141	293	740
142	295	738
143	297	736
144	299	734
145	301	732
146	304	730
147	306	727
148	308	725
149	310	723
150	312	721
151	314	719
152	316	717
153	318	715
154	320	713
155	322	710
156	324	708
157	326	706
158	328	704
159	330	702
160	332	700
161	334	698
162	336	696
163	338	694
164	340	692
165	343	690
166	345	688
167	347	686
168	349	684
169	351	682
170	353	681
171	356	678
172	358	676
173	360	674
174	362	672
175	364	670
176	366	668
177	368	666
178	370	664
179	372	662
180	374	660
181	376	658
182	378	656
183	380	654
184	383	652
185	385	650
186	387	648
187	389	646
